,EGFR_IC50_weight,EGFR_dep_weight,combined_weight,scaled_combined_weight
EGFR,0.6503015166571176,0.018889369137361438,0.6691908857944789,1.894250335518556
KLK7,-0.1469765945850215,0.0010423084944958267,-0.14593428609052567,-0.40264968123595213
SLC4A2,0.3444792805320195,-0.008945562357025337,0.33553371817499417,0.9540546694674352
PKMP1,0.23687592486874268,-0.017029715126141834,0.21984620974260083,0.6280646875335453
TINAGL1,0.09955081639332075,0.013835868272827265,0.11338668466614801,0.32807777341788286
CLDN1,0.19877008594335738,-0.003171301220632551,0.19559878472272482,0.5597390942929232
RIPK4,0.3982806547536307,0.005431399461746699,0.4037120542153774,1.146170956137016
CYB561D2,-0.013378808008672263,0.010335128262520329,-0.003043679746151934,-5.464829939694941e-06
KLK8,-0.33579570666337244,-0.0070011245629420585,-0.3427968312263145,-0.9573786956461705
UGT1A3,-0.04610851448531593,-0.0007175777576753049,-0.04682609224299124,-0.12337771177575016
KRT15,0.013691730429586865,-0.005885213330289095,0.00780651709929777,0.030568756376443355
DSC2,0.2318221454386847,0.007319119460465826,0.23914126489915052,0.6824352480817729
PPL,-0.28746252106748904,-0.0062741041167438845,-0.29373662518423294,-0.8191344210650706
RHOV,0.05632172778647446,-0.015417578370814984,0.04090414941565947,0.12383290137417714
SLC26A1,-0.0026345838420183607,-0.005296502617875222,-0.007931086459893582,-0.013777441147048205
TAOK2,-0.15895227563018077,-0.007353490966070865,-0.16630576659625163,-0.4600534463616318
TMEM8A,0.4513840165956807,0.015025073697633175,0.4664090902933139,1.3228417647256465
WFS1,0.303226994383273,0.0035814151637347915,0.3068084095470078,0.8731110743674074
KLK10,0.2116973561942727,0.01967432262666325,0.23137167882093596,0.6605417242295316
PFN1P6,-0.036014511371864316,0.012171304344933888,-0.02384320702693043,-0.058615401325000906
NIPAL1,0.3090234840711699,0.0023429919697576327,0.31136647604092754,0.8859550195274393
MAP1LC3C,0.08555905589530446,0.012568999318172123,0.09812805521347659,0.2850812528167055
IL1RN,0.06860843560261363,-0.00294989376289816,0.06565854183971548,0.1935870524355105
LIPH,0.04597929987256798,-0.004016396229368683,0.041962903643199295,0.12681631139125635
LMNA,-0.2165648624249923,0.0037758309947742087,-0.21278903143021807,-0.591036288578415
UGT1A7,2.1474488373325524,0.012097865109571533,2.1595467024421238,6.093848652807534
LCN2,0.2114189694035345,0.005364159522907343,0.21678312892644183,0.6194333869423907
