,ic50_weight,deps_weight,combined_weight,scaled_combined_weight
EGFR,0.3609476933161538,0.0055129857242237,2.3328247729202176,1.5999034148394629
KLK7,-0.0947383185838738,0.0003408386553674,-0.578266763406494,-0.38947180354948124
SLC4A2,0.2832413905297438,-0.0049502720708591,1.7758862516522052,1.2193040147344358
PKMP1,0.3865859749686113,-0.0105716288301043,2.393172189775054,1.6411434974980403
TINAGL1,0.0877986203527775,0.0010579456980237,0.5792896167204488,0.4015764846188464
CLDN1,0.1019178473999733,0.0034944816685873,0.6838670027566679,0.4730423446195467
RIPK4,0.2735095307435445,0.0041002878039357,1.7715827010538443,1.216363063958884
CYB561D2,-0.0671737936328419,0.010715188595213,-0.3386191940986273,-0.22570198402336947
KLK8,-0.1452367209934515,-0.0107274524565152,-0.9671636006263049,-0.6552352537263715
UGT1A3,-0.3048994944392399,0.0065091407082655,-1.8668235933994346,-1.2700428859374857
KRT15,0.2016238048061452,0.0067506377449295,1.3342452835532426,0.9174963984510933
DSC2,0.1202381795151009,0.006748525124183,0.8201453367802752,0.5661719275017075
PPL,-0.6302059370439266,-0.0181748207865549,-4.077599476046727,-2.7808379603857643
RHOV,0.0092097751163781,-0.0079882848029074,0.0257272628823822,0.023284282255440866
SLC26A1,-0.107166157868723,-0.012884764842838,-0.7403112421903317,-0.5002093967672098
TAOK2,-0.3381214290003237,-0.0178165444387753,-2.230333244704926,-1.5184572978267281
TMEM8A,0.1294123312746088,0.0006634725043811,0.8396581742671765,0.5795065667091966
WFS1,0.3057753774828141,0.0028070903004622,1.9672268820089434,1.3500619464423909
KLK10,0.2461247354557373,0.01162304931316,1.646120674827741,1.1306251052899465
PFN1P6,-0.102141592809119,-0.0005320163394764,-0.6305443877845707,-0.42519716948737996
NIPAL1,0.1933148222381657,0.035521151369332,1.4634941396696446,1.0058221924546493
MAP1LC3C,0.1210857277788106,0.0093976694401213,0.842232809846879,0.5812660154090151
IL1RN,0.0122029166396132,-0.0029198312156862,0.0766497448621939,0.05808357401433994
LIPH,-0.0516554875770314,-0.0065597338829002,-0.3497151703768365,-0.2332847274569733
LMNA,-0.0168499716075549,0.0009777987235364,-0.0822478641509875,-0.0505035183829505
UGT1A7,0.2301184850797739,0.0282384207853358,1.6499682952577435,1.1332544835275242
LCN2,-0.027882155334382,-0.0012413359283464,-0.1659521450163666,-0.1077051624909098
FAM83H,-0.0838036372166139,-0.0006259417100559,-0.5153027653158182,-0.3464436074624787
JAM3,0.132517605408925,-0.0019384017932656,0.8428379877854953,0.5816795805541766
SPRR1B,-0.1828664078838473,0.001112582359484,-1.1300684693315923,-0.7665608182828657
MMP28,-0.191626473412224,-0.0034017819649558,-1.2139187378839733,-0.8238622271296137
LY6D,-0.2269830293678116,-0.0064618535860063,-1.4565841159751036,-0.9896943500674679
SOBP,0.0012885367068484,-0.0033933962343487,0.0047157896547462,0.008925508709746822
ADAP1,0.2112991716182088,0.0126338793009608,1.432523967039545,0.984657865201206
NCLN,0.1817224581009741,0.0037619853734199,1.1896565824922931,0.8186876955435053
GALNT3,-0.1335228391947216,-0.002729031326148,-0.842647375619475,-0.5701436345777359
FOXQ1,0.3099023218274036,0.0209694930530387,2.10802145930358,1.4462778295426955
TCF21,-0.1539503390422179,0.0086784895826125,-0.8996236574436878,-0.609079958524477
EVPL,-0.5003895906703375,-0.0138470946265196,-3.2302548720697875,-2.2017815014760735
TNFAIP8,0.0682595175998045,0.0014971515784439,0.45864176217274283,0.31912842381624607
RPS20P22,-0.1332418117723129,-0.0009550572370626,-0.8296665974975607,-0.5612728594788097
KRT19,-0.190325109807819,-0.0082209019863559,-1.2361392643802065,-0.8390472407918567
PCSK7,-0.1162194099746858,0.0018079441744491,-0.7046886217277442,-0.4758656901272708
FGFRL1,-0.1552800167996857,-0.0038528254318952,-0.987179053737123,-0.6689133692739613
SPNS1,-0.0712713718715373,0.0064262558335511,-0.3915940643864274,-0.261903832310455
IL18,0.224563858993826,0.0146329489606424,1.5289401702753127,1.0505465543663761
HTATIP2,-0.3400095642134684,-0.001000709887514,-2.1360398089605126,-1.4540192607585478
ZNF668,-0.004691436338967,-0.0124015693251609,-0.08995946891328191,-0.05577345758502611
PATJ,-0.0312505517863863,-0.0048704418332368,-0.2101530981516191,-0.1379111109123729
PERP,-0.3100781489835426,-0.0035259616719421,-1.9629239621501242,-1.335715740839155
PLEK2,0.0507059600343689,-0.0094172063642374,0.27881917190340466,0.19624166456314174
FAM50A,0.0179796076188729,8.895360760314414e-05,0.13214474642324994,0.0960076239702979
YWHABP2,-0.350180370832635,-0.0066932482670812,-2.2362434149180723,-1.52249617671864
DAPP1,0.1695629912288256,0.0001123641690597,1.089795699917194,0.7504449891214235
DSP,0.1530248845764597,-0.0022860063080693,0.9701801148902209,0.6687023583534402
GRIN2B,-0.1885382946638965,-0.0064827677760987,-1.2138733024324095,-0.8238311775524192
PI3,-0.0396536630756941,0.0018274648900364,-0.2209243224063776,-0.1452719260350622
AGR2,0.0357960677135823,-0.0126093142953605,0.1644747066956698,0.11810119985922622
HMGB1P21,-0.0230250196400893,-0.0044847337620502,-0.15575868627773648,-0.10073917947345751
ZNF385C,0.0960693642144961,-0.0138277617077229,0.5375050372107482,0.37302183219720175
SLC52A3,0.0982749024364635,-0.0039208195216324,0.6140156479346892,0.425307482105027
ZNF804A,-0.173141578775187,-0.0104791994565203,-1.1418614041409296,-0.774619847677515
GLIS3,0.0706195379516943,0.0015756154990639,0.47404487653454885,0.32965456963303247
SYT11,0.1969207000653769,9.962678744323968e-05,1.2625250167674378,0.8684843630617977
ACE2,-0.0893342516543067,0.0106100826402193,-0.47926354113249525,-0.3218152031043205
IQANK1,0.6726432036224422,0.019930748431673,4.392776561726873,3.007628657618642
MFSD12,0.0502659664208587,0.0036065907212095,0.35830697757427493,0.2505618632901386
CXCR2,-0.2722710367821256,-0.0036412634467116,-1.7248370189410909,-1.1730124184834165
MARVELD2,0.0055233233265356,-0.0031498348702761,0.0330040615634338,0.028257084650914813
FASTK,0.0118976487406229,-0.0044584007854015,0.0650028215191847,0.05012432560874193
STK26,0.2204491467187303,0.010763049365988,1.4785039664617818,1.0160795742923452
MAL2,0.0787239332639194,-0.006692681982042,0.473009559686341,0.32894705712258626
NREP,0.1820218577095199,0.0068019107202684,1.2107500153099797,0.8331024784504033
STARD9,-0.008617817502873,0.0047194188807352,-0.006613415170773301,0.0011833820735023305
TMEM125,-0.0685697741256375,0.0056048726191143,-0.37971735893487,-0.2537875559218236
TNK1,-0.1958669678431215,0.0023751428674842,-1.2042136052937364,-0.8172299553424618
FEM1B,0.0103604922056637,0.0123887543531464,0.161711117745942,0.11621262462832184
TUBA1A,0.1120997532491134,0.0046979450445829,0.7557846879364262,0.5221892913490336
TGOLN2,-0.3442858720348389,0.0033545973140991,-2.135540795494604,-1.4536782460531246
SEPT7P6,0.1420816416004974,0.0107125327646605,0.983162753811775,0.6775744050814592
CREB3L1,-0.1538608421536926,-0.0051808750236956,-0.9866034463211643,-0.6685200119663879
CYP2S1,-0.1007710216173214,-0.0079247297504073,-0.6685843072337528,-0.45119280449829546
GPRIN2,0.5478811373064044,0.0216424481166456,3.615507300305859,2.476460129459759
MOXD1,-0.1375577766983397,-0.0064613271526223,-0.8917104696927068,-0.6036722619907828
SERPINB13,0.0274913223063834,-0.0029536564051431,0.1730079827570768,0.12393265095459621
OR2A7,0.001007570366441,0.0126287563754494,0.1041477585344801,0.07687510505069932
TWF1P1,-0.1537292922722988,-0.0010370945073148,-0.9595975706656086,-0.6500647971063814
AKT1S1,0.3730313629581878,0.0143203309404043,2.4647865389331964,1.6900831511360124
RPA4,-0.2755165056914583,-0.0107378928062557,-1.7901646998174514,-1.2176559028220235
MIR205,0.1006544893803867,0.0009939317099664,0.6600916166739137,0.45679477449320754
TRAF3IP3,0.5286774257182058,0.0265408894495938,3.525145547227429,2.41470891689183
PKP2,-0.1405008381803952,-0.016248592217874,-0.9721238141140289,-0.6586249533174905
MRNIP,-0.2386668270259401,-0.0017878584170084,-1.500862765056822,-1.0199533941709251
TNS4,-0.2123779140509312,0.0037791710006439,-1.2996391076771365,-0.8824416215765619
DDR2,-0.0578534272265921,0.0022308991373026,-0.33333796715132913,-0.2220929109727501
RPL36AP33,-0.2484931741876675,-0.0152072375995867,-1.6476984799068748,-1.1202976563323663
MIR1181,0.0041466030947642,0.0039880346977661,0.0693953736101942,0.05312609802513362
TUBB3,0.1772657700318294,0.0092681958499063,1.1962860751848678,0.8232181434213965
TMEM61,-0.3846351915906432,-0.0024400659689776,-2.4270173708366087,-1.6528668557173671
AREG,0.0636833943223989,0.0023383266951137,0.43504930586544094,0.3030058638304158
TMEM45B,0.3214663352618626,0.0057779568475278,2.0851075743454213,1.4306189901266406
ANKRD52,0.0088334190509773,0.0163734031157095,0.17723482588204098,0.1268211815486674
NBPF9,0.102712236421509,-0.0069248176727251,0.6230695655744884,0.43149472807692063
FOSL1P1,0.1888475200364153,0.0059697293730304,1.248608891004082,0.8589743921851908
